TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量,Rains
2024/05/26,17:50,0,1,01F0578S,01H0610S,31,82,52,1
2024/05/26,17:50,0,1,01F0578S,01H0610S,32,82,16,1
2024/05/26,17:50,0,1,01F0578S,01H0610S,41,82,1,1
2024/05/26,17:50,0,1,01F0578S,01H0610S,42,0,0,1
2024/05/26,17:50,0,1,01F0578S,01H0610S,5,0,0,1
2024/05/26,17:55,0,1,01F0584N,01F0557N,31,90,236,1
2024/05/26,17:55,0,1,01F0584N,01F0557N,32,90,45,1
2024/05/26,17:55,0,1,01F0584N,01F0557N,41,86,6,1
2024/05/26,17:55,0,1,01F0584N,01F0557N,42,82,7,1
2024/05/26,17:55,0,1,01F0584N,01F0557N,5,86,1,1
2024/05/26,17:55,0,1,01F0633N,01F0584N,31,90,180,1
2024/05/26,17:55,0,1,01F0633N,01F0584N,32,90,42,1
2024/05/26,17:55,0,1,01F0633N,01F0584N,41,82,9,1
2024/05/26,17:55,0,1,01F0633N,01F0584N,42,79,7,1
2024/05/26,17:55,0,1,01F0633N,01F0584N,5,79,3,1
2024/05/26,17:55,0,1,01F0578S,01F0633S,31,93,148,1
2024/05/26,17:55,0,1,01F0578S,01F0633S,32,91,20,1
2024/05/26,17:55,0,1,01F0578S,01F0633S,41,75,5,1
2024/05/26,17:55,0,1,01F0578S,01F0633S,42,86,5,1
2024/05/26,17:55,0,1,01F0578S,01F0633S,5,0,0,1
2024/05/26,17:55,0,1,01F0633S,01F0664S,31,93,186,1
2024/05/26,17:55,0,1,01F0633S,01F0664S,32,90,32,1
2024/05/26,17:55,0,1,01F0633S,01F0664S,41,84,6,1
2024/05/26,17:55,0,1,01F0633S,01F0664S,42,93,1,1
2024/05/26,17:55,0,1,01F0633S,01F0664S,5,0,0,1
2024/05/26,17:55,0,1,01F0633N,01H0579N,31,82,42,1
2024/05/26,17:55,0,1,01F0633N,01H0579N,32,86,7,1
2024/05/26,17:55,0,1,01F0633N,01H0579N,41,81,2,1
2024/05/26,17:55,0,1,01F0633N,01H0579N,42,0,0,1
